"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"50-54 years"	"50-54"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	92	10051788	0.9
	"50-54 years"	"50-54"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	61	10051788	0.6
	"50-54 years"	"50-54"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	42	10051788	0.4
	"50-54 years"	"50-54"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	25	10051788	0.2
	"50-54 years"	"50-54"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	140	10051788	1.4
	"50-54 years"	"50-54"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	103	10051788	1.0
	"50-54 years"	"50-54"	"Male"	"M"	"2021 (provisional)"	"2021"	"Sequelae of assault"	"Y87.1"	19	10051788	Unreliable
"Total"	"50-54 years"	"50-54"	"Male"	"M"	"2021 (provisional)"	"2021"			16666	10051788	165.8
"Total"	"50-54 years"	"50-54"	"Male"	"M"					16666	10051788	165.8
"Total"	"50-54 years"	"50-54"							23810	20395527	116.7
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	263	11091171	2.4
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	311	11091171	2.8
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	38	11091171	0.3
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	10	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	13	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	15	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	10	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	47	11091171	0.4
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	13	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	32	11091171	0.3
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	98	11091171	0.9
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	1433	11091171	12.9
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	95	11091171	0.9
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	138	11091171	1.2
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Primary biliary cirrhosis"	"K74.3"	11	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	1082	11091171	9.8
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	13	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	370	11091171	3.3
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	1191	11091171	10.7
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	1548	11091171	14.0
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	88	11091171	0.8
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	10	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	65	11091171	0.6
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	22	11091171	0.2
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	161	11091171	1.5
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	29	11091171	0.3
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	204	11091171	1.8
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	15	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	95	11091171	0.9
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	12	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	229	11091171	2.1
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	17	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	27	11091171	0.2
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	17	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	17	11091171	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	63	11091171	0.6
	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	52	11091171	0.5
"Total"	"55-59 years"	"55-59"	"Female"	"F"	"2021 (provisional)"	"2021"			7915	11091171	71.4
"Total"	"55-59 years"	"55-59"	"Female"	"F"					7915	11091171	71.4
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	871	10511928	8.3
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	1040	10511928	9.9
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, withdrawal state"	"F10.3"	47	10511928	0.4
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	118	10511928	1.1
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	11	10511928	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	25	10511928	0.2
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	30	10511928	0.3
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	55	10511928	0.5
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	57	10511928	0.5
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	106	10511928	1.0
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	42	10511928	0.4
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	91	10511928	0.9
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	186	10511928	1.8
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	3041	10511928	28.9
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	245	10511928	2.3
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	341	10511928	3.2
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	1703	10511928	16.2
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	21	10511928	0.2
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	1141	10511928	10.9
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	3299	10511928	31.4
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	2645	10511928	25.2
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	262	10511928	2.5
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	49	10511928	0.5
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	26	10511928	0.2
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	125	10511928	1.2
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	58	10511928	0.6
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	669	10511928	6.4
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	36	10511928	0.3
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	481	10511928	4.6
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	195	10511928	1.9
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	1033	10511928	9.8
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by smoke, fire and flames"	"X76"	18	10511928	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	87	10511928	0.8
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	51	10511928	0.5
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	29	10511928	0.3
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	20	10511928	0.2
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	118	10511928	1.1
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	91	10511928	0.9
	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"	"Sequelae of assault"	"Y87.1"	30	10511928	0.3
"Total"	"55-59 years"	"55-59"	"Male"	"M"	"2021 (provisional)"	"2021"			18603	10511928	177.0
"Total"	"55-59 years"	"55-59"	"Male"	"M"					18603	10511928	177.0
"Total"	"55-59 years"	"55-59"							26518	21603099	122.8
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	256	10823072	2.4
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	293	10823072	2.7
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	35	10823072	0.3
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	13	10823072	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	14	10823072	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	23	10823072	0.2
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	36	10823072	0.3
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	11	10823072	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	36	10823072	0.3
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	93	10823072	0.9
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	1382	10823072	12.8
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	117	10823072	1.1
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	159	10823072	1.5
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Primary biliary cirrhosis"	"K74.3"	35	10823072	0.3
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	1352	10823072	12.5
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	19	10823072	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	324	10823072	3.0
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	828	10823072	7.7
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	1055	10823072	9.7
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	62	10823072	0.6
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	59	10823072	0.5
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	34	10823072	0.3
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	160	10823072	1.5
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	14	10823072	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	133	10823072	1.2
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	13	10823072	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	86	10823072	0.8
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	10	10823072	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	189	10823072	1.7
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	21	10823072	0.2
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	19	10823072	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	10	10823072	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	11	10823072	Unreliable
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	49	10823072	0.5
	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	49	10823072	0.5
"Total"	"60-64 years "	"60-64"	"Female"	"F"	"2021 (provisional)"	"2021"			7099	10823072	65.6
"Total"	"60-64 years "	"60-64"	"Female"	"F"					7099	10823072	65.6
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	910	9977506	9.1
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	1035	9977506	10.4
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, withdrawal state"	"F10.3"	55	9977506	0.6
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, withdrawal state with delirium"	"F10.4"	10	9977506	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, amnesic syndrome"	"F10.6"	10	9977506	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder"	"F10.7"	18	9977506	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	134	9977506	1.3
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	16	9977506	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	24	9977506	0.2
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	28	9977506	0.3
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	69	9977506	0.7
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	62	9977506	0.6
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	116	9977506	1.2
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	31	9977506	0.3
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	70	9977506	0.7
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	182	9977506	1.8
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	3020	9977506	30.3
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	259	9977506	2.6
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	322	9977506	3.2
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Chronic hepatitis, unspecified"	"K73.9"	11	9977506	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	2077	9977506	20.8
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	23	9977506	0.2
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	894	9977506	9.0
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	2518	9977506	25.2
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	1917	9977506	19.2
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	203	9977506	2.0
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	34	9977506	0.3
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	26	9977506	0.3
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	106	9977506	1.1
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	61	9977506	0.6
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	534	9977506	5.4
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	20	9977506	0.2
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	424	9977506	4.2
	"60-64 years "	"60-64"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	193	9977506	1.9
