"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"55-59 years"	"55-59"	"2000"	"2000"	"Alcoholic hepatic failure"	"K70.4"	"Female"	"F"	63	6960508	0.9
	"55-59 years"	"55-59"	"2000"	"2000"	"Alcoholic hepatic failure"	"K70.4"	"Male"	"M"	146	6508729	2.2
	"55-59 years"	"55-59"	"2000"	"2000"	"Alcoholic liver disease, unspecified"	"K70.9"	"Female"	"F"	82	6960508	1.2
	"55-59 years"	"55-59"	"2000"	"2000"	"Alcoholic liver disease, unspecified"	"K70.9"	"Male"	"M"	171	6508729	2.6
	"55-59 years"	"55-59"	"2000"	"2000"	"Chronic active hepatitis, not elsewhere classified"	"K73.2"	"Female"	"F"	22	6960508	0.3
	"55-59 years"	"55-59"	"2000"	"2000"	"Primary biliary cirrhosis"	"K74.3"	"Female"	"F"	14	6960508	Unreliable
	"55-59 years"	"55-59"	"2000"	"2000"	"Other and unspecified cirrhosis of liver"	"K74.6"	"Female"	"F"	433	6960508	6.2
	"55-59 years"	"55-59"	"2000"	"2000"	"Other and unspecified cirrhosis of liver"	"K74.6"	"Male"	"M"	881	6508729	13.5
	"55-59 years"	"55-59"	"2000"	"2000"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Female"	"F"	21	6960508	0.3
	"55-59 years"	"55-59"	"2000"	"2000"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Male"	"M"	11	6508729	Unreliable
	"55-59 years"	"55-59"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Female"	"F"	52	6960508	0.7
	"55-59 years"	"55-59"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	131	6508729	2.0
	"55-59 years"	"55-59"	"2000"	"2000"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Female"	"F"	87	6960508	1.2
	"55-59 years"	"55-59"	"2000"	"2000"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Male"	"M"	61	6508729	0.9
	"55-59 years"	"55-59"	"2000"	"2000"	"Accidental poisoning by and exposure to alcohol"	"X45"	"Male"	"M"	14	6508729	Unreliable
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"Male"	"M"	12	6508729	Unreliable
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Female"	"F"	43	6960508	0.6
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Male"	"M"	24	6508729	0.4
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"Female"	"F"	25	6960508	0.4
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"Male"	"M"	10	6508729	Unreliable
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	58	6960508	0.8
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Male"	"M"	58	6508729	0.9
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Female"	"F"	27	6960508	0.4
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Male"	"M"	84	6508729	1.3
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	50	6960508	0.7
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	153	6508729	2.4
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by drowning and submersion"	"X71"	"Male"	"M"	11	6508729	Unreliable
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	40	6960508	0.6
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	164	6508729	2.5
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	129	6508729	2.0
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	99	6960508	1.4
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	561	6508729	8.6
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by sharp object"	"X78"	"Male"	"M"	26	6508729	0.4
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by jumping from a high place"	"X80"	"Female"	"F"	11	6960508	Unreliable
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by jumping from a high place"	"X80"	"Male"	"M"	17	6508729	Unreliable
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Male"	"M"	20	6508729	0.3
	"55-59 years"	"55-59"	"2000"	"2000"	"Intentional self-harm by other specified means"	"X83"	"Male"	"M"	12	6508729	Unreliable
	"55-59 years"	"55-59"	"2000"	"2000"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Male"	"M"	20	6508729	0.3
	"55-59 years"	"55-59"	"2000"	"2000"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	"Female"	"F"	11	6960508	Unreliable
	"55-59 years"	"55-59"	"2000"	"2000"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	"Male"	"M"	18	6508729	Unreliable
	"55-59 years"	"55-59"	"2000"	"2000"	"Sequelae of assault"	"Y87.1"	"Male"	"M"	11	6508729	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Mental and behavioural disorders due to use of alcohol, acute intoxication"	"F10.0"	"Male"	"M"	21	6759579	0.3
	"55-59 years"	"55-59"	"2001"	"2001"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	"Female"	"F"	44	7209396	0.6
	"55-59 years"	"55-59"	"2001"	"2001"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	"Male"	"M"	161	6759579	2.4
	"55-59 years"	"55-59"	"2001"	"2001"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	"Female"	"F"	92	7209396	1.3
	"55-59 years"	"55-59"	"2001"	"2001"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	"Male"	"M"	374	6759579	5.5
	"55-59 years"	"55-59"	"2001"	"2001"	"Mental and behavioural disorders due to use of alcohol, withdrawal state"	"F10.3"	"Male"	"M"	10	6759579	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	"Female"	"F"	17	7209396	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	"Male"	"M"	37	6759579	0.5
	"55-59 years"	"55-59"	"2001"	"2001"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Male"	"M"	31	6759579	0.5
	"55-59 years"	"55-59"	"2001"	"2001"	"Alcoholic fatty liver"	"K70.0"	"Male"	"M"	23	6759579	0.3
	"55-59 years"	"55-59"	"2001"	"2001"	"Alcoholic hepatitis"	"K70.1"	"Female"	"F"	33	7209396	0.5
	"55-59 years"	"55-59"	"2001"	"2001"	"Alcoholic hepatitis"	"K70.1"	"Male"	"M"	80	6759579	1.2
	"55-59 years"	"55-59"	"2001"	"2001"	"Alcoholic cirrhosis of liver"	"K70.3"	"Female"	"F"	219	7209396	3.0
	"55-59 years"	"55-59"	"2001"	"2001"	"Alcoholic cirrhosis of liver"	"K70.3"	"Male"	"M"	761	6759579	11.3
	"55-59 years"	"55-59"	"2001"	"2001"	"Alcoholic hepatic failure"	"K70.4"	"Female"	"F"	44	7209396	0.6
	"55-59 years"	"55-59"	"2001"	"2001"	"Alcoholic hepatic failure"	"K70.4"	"Male"	"M"	154	6759579	2.3
	"55-59 years"	"55-59"	"2001"	"2001"	"Alcoholic liver disease, unspecified"	"K70.9"	"Female"	"F"	48	7209396	0.7
	"55-59 years"	"55-59"	"2001"	"2001"	"Alcoholic liver disease, unspecified"	"K70.9"	"Male"	"M"	216	6759579	3.2
	"55-59 years"	"55-59"	"2001"	"2001"	"Chronic active hepatitis, not elsewhere classified"	"K73.2"	"Female"	"F"	28	7209396	0.4
	"55-59 years"	"55-59"	"2001"	"2001"	"Primary biliary cirrhosis"	"K74.3"	"Female"	"F"	22	7209396	0.3
	"55-59 years"	"55-59"	"2001"	"2001"	"Other and unspecified cirrhosis of liver"	"K74.6"	"Female"	"F"	432	7209396	6.0
	"55-59 years"	"55-59"	"2001"	"2001"	"Other and unspecified cirrhosis of liver"	"K74.6"	"Male"	"M"	910	6759579	13.5
	"55-59 years"	"55-59"	"2001"	"2001"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Female"	"F"	23	7209396	0.3
	"55-59 years"	"55-59"	"2001"	"2001"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Male"	"M"	17	6759579	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Female"	"F"	49	7209396	0.7
	"55-59 years"	"55-59"	"2001"	"2001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	165	6759579	2.4
	"55-59 years"	"55-59"	"2001"	"2001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Female"	"F"	91	7209396	1.3
	"55-59 years"	"55-59"	"2001"	"2001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Male"	"M"	115	6759579	1.7
	"55-59 years"	"55-59"	"2001"	"2001"	"Accidental poisoning by and exposure to alcohol"	"X45"	"Male"	"M"	12	6759579	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Female"	"F"	35	7209396	0.5
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Male"	"M"	18	6759579	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"Female"	"F"	13	7209396	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"Male"	"M"	16	6759579	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	81	7209396	1.1
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Male"	"M"	56	6759579	0.8
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Female"	"F"	41	7209396	0.6
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Male"	"M"	91	6759579	1.3
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	45	7209396	0.6
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	196	6759579	2.9
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by drowning and submersion"	"X71"	"Female"	"F"	11	7209396	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by drowning and submersion"	"X71"	"Male"	"M"	12	6759579	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	52	7209396	0.7
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	240	6759579	3.6
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	179	6759579	2.6
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	114	7209396	1.6
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	601	6759579	8.9
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by sharp object"	"X78"	"Male"	"M"	33	6759579	0.5
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by jumping from a high place"	"X80"	"Female"	"F"	12	7209396	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by jumping from a high place"	"X80"	"Male"	"M"	32	6759579	0.5
	"55-59 years"	"55-59"	"2001"	"2001"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Male"	"M"	11	6759579	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Female"	"F"	15	7209396	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Male"	"M"	22	6759579	0.3
	"55-59 years"	"55-59"	"2001"	"2001"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	"Female"	"F"	15	7209396	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	"Male"	"M"	18	6759579	Unreliable
	"55-59 years"	"55-59"	"2001"	"2001"	"Sequelae of assault"	"Y87.1"	"Male"	"M"	11	6759579	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Mental and behavioural disorders due to use of alcohol, acute intoxication"	"F10.0"	"Male"	"M"	33	7341077	0.4
	"55-59 years"	"55-59"	"2002"	"2002"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	"Female"	"F"	41	7801990	0.5
	"55-59 years"	"55-59"	"2002"	"2002"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	"Male"	"M"	201	7341077	2.7
	"55-59 years"	"55-59"	"2002"	"2002"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	"Female"	"F"	93	7801990	1.2
	"55-59 years"	"55-59"	"2002"	"2002"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	"Male"	"M"	428	7341077	5.8
	"55-59 years"	"55-59"	"2002"	"2002"	"Mental and behavioural disorders due to use of alcohol, withdrawal state with delirium"	"F10.4"	"Male"	"M"	12	7341077	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	"Female"	"F"	12	7801990	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	"Male"	"M"	31	7341077	0.4
	"55-59 years"	"55-59"	"2002"	"2002"	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	"Male"	"M"	12	7341077	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Female"	"F"	14	7801990	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Male"	"M"	52	7341077	0.7
	"55-59 years"	"55-59"	"2002"	"2002"	"Alcoholic fatty liver"	"K70.0"	"Male"	"M"	15	7341077	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Alcoholic hepatitis"	"K70.1"	"Female"	"F"	42	7801990	0.5
	"55-59 years"	"55-59"	"2002"	"2002"	"Alcoholic hepatitis"	"K70.1"	"Male"	"M"	73	7341077	1.0
	"55-59 years"	"55-59"	"2002"	"2002"	"Alcoholic cirrhosis of liver"	"K70.3"	"Female"	"F"	281	7801990	3.6
	"55-59 years"	"55-59"	"2002"	"2002"	"Alcoholic cirrhosis of liver"	"K70.3"	"Male"	"M"	825	7341077	11.2
	"55-59 years"	"55-59"	"2002"	"2002"	"Alcoholic hepatic failure"	"K70.4"	"Female"	"F"	48	7801990	0.6
	"55-59 years"	"55-59"	"2002"	"2002"	"Alcoholic hepatic failure"	"K70.4"	"Male"	"M"	151	7341077	2.1
	"55-59 years"	"55-59"	"2002"	"2002"	"Alcoholic liver disease, unspecified"	"K70.9"	"Female"	"F"	61	7801990	0.8
	"55-59 years"	"55-59"	"2002"	"2002"	"Alcoholic liver disease, unspecified"	"K70.9"	"Male"	"M"	213	7341077	2.9
	"55-59 years"	"55-59"	"2002"	"2002"	"Chronic active hepatitis, not elsewhere classified"	"K73.2"	"Female"	"F"	25	7801990	0.3
	"55-59 years"	"55-59"	"2002"	"2002"	"Primary biliary cirrhosis"	"K74.3"	"Female"	"F"	29	7801990	0.4
	"55-59 years"	"55-59"	"2002"	"2002"	"Other and unspecified cirrhosis of liver"	"K74.6"	"Female"	"F"	437	7801990	5.6
	"55-59 years"	"55-59"	"2002"	"2002"	"Other and unspecified cirrhosis of liver"	"K74.6"	"Male"	"M"	1035	7341077	14.1
	"55-59 years"	"55-59"	"2002"	"2002"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Female"	"F"	22	7801990	0.3
	"55-59 years"	"55-59"	"2002"	"2002"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Male"	"M"	38	7341077	0.5
	"55-59 years"	"55-59"	"2002"	"2002"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Female"	"F"	72	7801990	0.9
	"55-59 years"	"55-59"	"2002"	"2002"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	223	7341077	3.0
	"55-59 years"	"55-59"	"2002"	"2002"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Female"	"F"	142	7801990	1.8
	"55-59 years"	"55-59"	"2002"	"2002"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Male"	"M"	154	7341077	2.1
	"55-59 years"	"55-59"	"2002"	"2002"	"Accidental poisoning by and exposure to alcohol"	"X45"	"Male"	"M"	29	7341077	0.4
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"Male"	"M"	10	7341077	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Female"	"F"	51	7801990	0.7
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Male"	"M"	29	7341077	0.4
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"Female"	"F"	13	7801990	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"Male"	"M"	22	7341077	0.3
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	102	7801990	1.3
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Male"	"M"	65	7341077	0.9
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Female"	"F"	25	7801990	0.3
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Male"	"M"	91	7341077	1.2
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	43	7801990	0.6
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	236	7341077	3.2
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by drowning and submersion"	"X71"	"Female"	"F"	12	7801990	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by drowning and submersion"	"X71"	"Male"	"M"	15	7341077	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	47	7801990	0.6
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	251	7341077	3.4
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	172	7341077	2.3
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	127	7801990	1.6
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	692	7341077	9.4
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by sharp object"	"X78"	"Male"	"M"	38	7341077	0.5
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by jumping from a high place"	"X80"	"Female"	"F"	13	7801990	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by jumping from a high place"	"X80"	"Male"	"M"	33	7341077	0.4
	"55-59 years"	"55-59"	"2002"	"2002"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Male"	"M"	16	7341077	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	"Female"	"F"	11	7801990	Unreliable
	"55-59 years"	"55-59"	"2002"	"2002"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Female"	"F"	23	7801990	0.3
	"55-59 years"	"55-59"	"2002"	"2002"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Male"	"M"	39	7341077	0.5
	"55-59 years"	"55-59"	"2002"	"2002"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	"Female"	"F"	20	7801990	0.3
	"55-59 years"	"55-59"	"2002"	"2002"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	"Male"	"M"	19	7341077	Unreliable
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, acute intoxication"	"F10.0"	"Female"	"F"	13	8141956	Unreliable
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, acute intoxication"	"F10.0"	"Male"	"M"	30	7672601	0.4
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	"Female"	"F"	41	8141956	0.5
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	"Male"	"M"	190	7672601	2.5
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	"Female"	"F"	112	8141956	1.4
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	"Male"	"M"	450	7672601	5.9
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, withdrawal state"	"F10.3"	"Male"	"M"	11	7672601	Unreliable
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, withdrawal state with delirium"	"F10.4"	"Male"	"M"	11	7672601	Unreliable
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	"Female"	"F"	12	8141956	Unreliable
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	"Male"	"M"	28	7672601	0.4
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	"Male"	"M"	13	7672601	Unreliable
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Female"	"F"	14	8141956	Unreliable
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Male"	"M"	50	7672601	0.7
	"55-59 years"	"55-59"	"2003"	"2003"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome"	"F19.2"	"Male"	"M"	12	7672601	Unreliable
	"55-59 years"	"55-59"	"2003"	"2003"	"Alcoholic fatty liver"	"K70.0"	"Male"	"M"	18	7672601	Unreliable
	"55-59 years"	"55-59"	"2003"	"2003"	"Alcoholic hepatitis"	"K70.1"	"Female"	"F"	39	8141956	0.5
	"55-59 years"	"55-59"	"2003"	"2003"	"Alcoholic hepatitis"	"K70.1"	"Male"	"M"	78	7672601	1.0
	"55-59 years"	"55-59"	"2003"	"2003"	"Alcoholic cirrhosis of liver"	"K70.3"	"Female"	"F"	281	8141956	3.5
